City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,queenstown,-45.0322,168.661,0.32,81,4,0.3,NZ,1686134334
351,lompoc,34.6392,-120.4579,13.77,86,100,3.13,US,1686134334
352,orcopampa,-15.954,-72.4859,19.19,42,0,0.2,PE,1686134335
353,codrington,51.5082,-2.3937,16.84,69,0,2.24,GB,1686134335
354,poinciana,28.1575,-81.4848,23.14,94,0,0.0,US,1686134336
355,castillos,-34.2003,-53.8608,16.73,97,91,2.55,UY,1686134336
356,arcelia,18.3186,-100.2818,23.99,83,18,0.49,MX,1686134337
357,riachao das neves,-11.7481,-44.911,23.08,46,17,1.14,BR,1686134337
358,pitimbu,-7.4728,-34.8112,25.2,80,30,2.29,BR,1686134338
359,norilsk,69.3498,88.2005,14.64,62,55,6.61,RU,1686134338
360,seredyna-buda,52.1887,34.0306,22.85,41,1,0.95,UA,1686134339
361,wad rawah,15.1638,33.1307,36.06,30,86,4.21,SD,1686134339
362,dickinson,46.8792,-102.7896,14.34,88,0,2.57,US,1686133978
